log_frequency_per_million,word,transcription,part_of_speech
1.48,code,k5d,N
0.7,code,k5d,V
0.3,coerce,k53s,V
0.3,coercion,k53SH,N
0.3,coexist,k5IgzIst,V
1.96,coffee,kQfI,N
0.95,coffin,kQfIn,N
0.3,cog,kQg,N
0.3,cognac,kQnj{k,N
0.48,coherence,k5h7r@ns,N
0.9,coherent,k5h7r@nt,A
0.48,cohesion,k5hiZH,N
0.3,cohesive,k5hisIv,A
0.3,cohort,k5h$t,N
0.7,coil,k4l,N
0.7,coil,k4l,V
1.23,coin,k4n,N
0.48,coin,k4n,V
1.04,coincide,k5Ins2d,V
1.15,coincidence,k5InsId@ns,N
0.78,coke,k5k,N
0.3,col,kQl,N
1.36,cold,k5ld,N
2.22,cold,k5ld,A
0.6,cold,k5ld,ADV
0.85,coldly,k5ldlI,ADV
0.48,coldness,k5ldnIs,N
0.48,colic,kQlIk,N
0.6,collaborate,k@l{b@r1t,V
0.78,collaboration,k@l{b@r1SH,N
0.3,collaborator,k@l{b@r1t@R,N
0.3,collage,kQl#Z,N
1.2,collapse,k@l{ps,N
1.46,collapse,k@l{ps,V
1.34,collar,kQl@R,N
1.71,colleague,kQlig,N
1.85,collect,k@lEkt,V
1.69,collection,k@lEkSH,N
1.36,collective,k@lEktIv,A
0.85,collective,k@lEktIv,N
0.7,collectively,k@lEktIvlI,ADV
1.23,collector,k@lEkt@R,N
2.01,college,kQlI_,N
0.7,collide,k@l2d,V
0.6,Collins,kQlInz,N
0.78,collision,k@lIZH,N
0.3,colloquial,k@l5kw7l,A
0.6,cologne,k@l5n,N
0.6,Colombia,k@lQmb7,N
1.96,colonel,k3nP,N
1.43,colonial,k@l5nj@l,A
0.7,colonialism,k@l5n7lIz@m,N
0.48,colonization,kQl@n2z1SH,N
0.7,colonize,kQl@n2z,V
1.26,colony,kQl@nI,N
0.6,Colorado,kQl@r#d5,N
0.6,colossal,k@lQsP,A
2.05,colour,kVl@R,N
0.78,colour,kVl@R,V
1.49,coloured,kVl@d,A
0.3,coloured,kVl@d,N
0.85,colourful,kVl@fUl,A
0.6,colouring,kVl@rIN,N
0.48,colourless,kVl@lIs,A
0.7,colours,kVl@z,N
0.3,colt,k5lt,N
0.48,columbine,kQl@mb2n,N
1.59,column,kQl@m,N
0.48,columnist,kQl@mnIst,N
0.3,coma,k5m@,N
0.7,comb,k5m,N
0.95,comb,k5m,V
0.85,combat,kQmb{t,N
1.08,combat,kQmb{t,V
1.61,combination,kQmbIn1SH,N
0.6,combine,kQmb2n,N
1.82,combine,k@mb2n,V
0.7,combustion,k@mbVsJ@n,N
3.29,come,kVm,V
0.3,comeback,kVmb{k,N
0.48,comedian,k@midj@n,N
1.18,comedy,kQm@dI,N
0.7,comer,kVm@R,N
0.3,comet,kQmIt,N
1.57,comfort,kVmf@t,N
1.32,comfort,kVmf@t,V
1.64,comfortable,kVmf@t@bP,A
1.18,comfortably,kVmf@t@blI,ADV
0.3,comforter,kVmf@t@R,N
0.7,comic,kQmIk,N
0.95,comic,kQmIk,A
0.48,comical,kQmIk@l,A
0.48,comics,kQmIks,N
1.3,coming,kVmIN,N
0.7,coming,kVmIN,A
0.3,comma,kQm@,N
1.72,command,k@m#nd,N
1.45,command,k@m#nd,V
0.48,commandant,kQm@nd{nt,N
1.45,commander,k@m#nd@R,N
0.85,commanding,k@m#ndIN,A
0.78,commandment,k@m#ndm@nt,N
0.48,commando,k@m#nd5,N
0.48,commemorate,k@mEm@r1t,V
0.6,commence,k@mEns,V
0.3,commencement,k@mEnsm@nt,N
0.6,commend,k@mEnd,V
0.3,commendable,k@mEnd@bP,A
1.62,comment,kQmEnt,N
1.4,comment,kQmEnt,V
0.78,commentary,kQm@nt@rI,N
0.85,commentator,kQmEnt1t@R,N
1.11,commerce,kQm3s,N
0.48,commercial,k@m3SP,N
1.74,commercial,k@m3SP,A
0.3,commercialism,k@m3S@lIz@m,N
0.85,commercially,k@m3S@lI,ADV
1.83,commission,k@mISH,N
0.9,commission,k@mISH,V
1.15,commissioner,k@mISH@R,N
1.72,commit,k@mIt,V
1.61,commitment,k@mItm@nt,N
1.23,committed,k@mItId,A
2.15,committee,k@mItI,N
0.3,commode,k@m5d,N
1.11,commodity,k@mQd@tI,N
2.27,common,kQm@n,A
0.3,commoner,kQm@n@R,N
1.28,commonly,kQm@nlI,ADV
0.3,commonplace,kQm@npl1s,N
0.78,commonplace,kQm@npl1s,A
0.3,commons,kQm@nz,N
1.42,Commons,kQm@nz,N
1.18,Commonwealth,kQm@nwElT,N
0.48,commotion,k@m5SH,N
1.08,communal,kQmjUnP,A
1,commune,kQmjun,N
1.38,communicate,k@mjunIk1t,V
1.53,communication,k@mjunIk1SH,N
1.34,communications,k@mjunIk1SHz,N
0.48,communion,k@mjunj@n,N
0.6,Communion,k@mjunj@n,N
0.85,communism,kQmjUnIz@m,N
1.15,Communism,kQmjUnIz@m,N
0.48,communist,kQmjUnIst,A
1.71,Communist,kQmjUnIst,A
1.43,Communist,kQmjUnIst,N
2.17,community,k@mjun@tI,N
0.48,commute,k@mjut,V
0.48,commuter,k@mjut@R,N
0.3,compact,kQmp{kt,N
0.78,compact,k@mp{kt,A
1.54,companion,k@mp{nj@n,N
0.7,companionship,k@mp{nj@nSIp,N
2.4,company,kVmp@nI,N
1.18,comparable,kQmp@r@bP,A
0.95,comparative,k@mp{r@tIv,A
1.3,comparatively,k@mp{r@tIvlI,ADV
1.92,compare,k@mp8R,V
1.46,comparison,k@mp{rIsH,N
1,compartment,k@mp#tm@nt,N
0.7,compass,kVmp@s,N
0.95,compassion,k@mp{SH,N
0.48,compassionate,k@mp{S@n@t,A
0.78,compatible,k@mp{t@bP,A
0.3,compatriot,k@mp{tr7t,N
1.36,compel,k@mpEl,V
0.78,compelling,k@mpElIN,A
1.08,compensate,kQmpEns1t,V
1.28,compensation,kQmpEns1SH,N
1.42,compete,k@mpit,V
0.9,competence,kQmpIt@ns,N
1.04,competent,kQmpIt@nt,A
1.72,competition,kQmpItISH,N
1.45,competitive,k@mpEt@tIv,A
0.3,competitiveness,k@mpEt@tIvnIs,N
0.95,competitor,k@mpEtIt@R,N
0.7,compile,k@mp2l,V
0.6,complacency,k@mpl1sHsI,N
0.48,complacent,k@mpl1sHt,A
1.72,complain,k@mpl1n,V
1.45,complaint,k@mpl1nt,N
0.48,complement,kQmplIm@nt,N
0.6,complement,kQmplImEnt,V
0.9,complementary,kQmplImEnt@rI,A
1.68,complete,k@mplit,V
1.94,complete,k@mplit,A
2.06,completely,k@mplitlI,ADV
0.85,completion,k@mpliSH,N
1.2,complex,kQmplEks,N
1.74,complex,kQmplEks,A
0.9,complexion,k@mplEkSH,N
1.2,complexity,k@mplEks@tI,N
0.48,compliance,k@mpl2@ns,N
0.85,complicate,kQmplIk1t,V
1.51,complicated,kQmplIk1tId,A
0.95,complication,kQmplIk1SH,N
0.3,complicity,k@mplIs@tI,N
1,compliment,kQmplIm@nt,N
0.3,compliment,kQmplImEnt,V
0.3,complimentary,kQmplImEnt@rI,A
0.78,comply,k@mpl2,V
1.43,component,k@mp5n@nt,N
0.48,component,k@mp5n@nt,A
1.42,compose,k@mp5z,V
0.48,composed,k@mp5zd,A
1.11,composer,k@mp5z@R,N
0.3,composite,kQmp@zIt,A
1.28,composition,kQmp@zISH,N
0.48,compost,kQmpQst,N
0.48,composure,k@mp5Z@R,N
1.28,compound,kQmp6nd,N
0.9,compound,k@mp6nd,V
0.3,compound,kQmp6nd,A
0.9,comprehend,kQmprIhEnd,V
0.3,comprehensible,kQmprIhEns@bP,A
0.9,comprehension,kQmprIhEnSH,N
1.3,comprehensive,kQmprIhEnsIv,A
1,compress,k@mprEs,V
0.6,compression,k@mprESH,N
1.04,comprise,k@mpr2z,V
1.23,compromise,kQmpr@m2z,N
0.78,compromise,kQmpr@m2z,V
0.85,compulsion,k@mpVlSH,N
0.7,compulsive,k@mpVlsIv,A
0.3,compulsively,k@mpVlsIvlI,ADV
1.18,compulsory,k@mpVls@rI,A
0.3,computation,kQmpjut1SH,N
0.85,compute,k@mpjut,V
1.97,computer,k@mpjut@R,N
0.48,computerize,k@mpjut@r2z,V
1.2,comrade,kQmr1d,N
0.3,comradeship,kQmr1dSIp,N
0.3,con,kQn,N
0.48,con,kQn,V
1.51,conceal,k@nsil,V
0.48,concealment,k@nsilm@nt,N
1.15,concede,k@nsid,V
0.3,conceit,k@nsit,N
0.3,conceited,k@nsitId,A
0.85,conceivable,k@nsiv@bP,A
0.7,conceivably,k@nsiv@blI,ADV
1.3,conceive,k@nsiv,V
0.3,concentrate,kQns@ntr1t,N
1.78,concentrate,kQns@ntr1t,V
1.15,concentrated,kQns@ntr1tId,A
1.57,concentration,kQns@ntr1SH,N
0.3,concentric,k@nsEntrIk,A
1.79,concept,kQnsEpt,N
1.28,conception,k@nsEpSH,N
0.48,conceptual,k@nsEpJ9l,A
1.87,concern,k@ns3n,N
1.36,concern,k@ns3n,V
2.13,concerned,k@ns3nd,A
1.3,concerning,k@ns3nIN,FUNC
1.32,concert,kQns@t,N
0.3,concerted,k@ns3tId,A
0.7,concerto,k@nJ8t5,N
1.15,concession,k@nsESH,N
1,conch,kQnJ,N
0.3,concierge,kQnsI8Z,N
0.3,conciliation,k@nsIlI1SH,N
1.63,conclude,k@nklud,V
1.73,conclusion,k@nkluZH,N
0.48,conclusive,k@nklusIv,A
0.3,conclusively,k@nklusIvlI,ADV
0.48,concoct,k@nkQkt,V
0.3,concoction,k@nkQkSH,N
0.48,concourse,kQNk$s,N
1.4,concrete,kQNkrit,N
0.9,concrete,kQNkrit,A
0.3,concubine,kQNkjUb2n,N
0.3,concur,k@nk3R,V
0.3,concussion,k@nkVSH,N
1.46,condemn,k@ndEm,V
0.7,condemnation,kQndEmn1SH,N
0.6,condense,k@ndEns,V
0.48,condescend,kQndIsEnd,V
0.3,condescension,kQndIsEnSH,N
2,condition,k@ndISH,N
1.2,condition,k@ndISH,V
0.3,conditional,k@ndIS@nP,A
1.86,conditions,k@ndISHz,N
0.6,condone,k@nd5n,V
0.3,conducive,k@ndjusIv,A
1.18,conduct,kQndVkt,N
1.58,conduct,k@ndVkt,V
0.9,conductor,k@ndVkt@R,N
0.3,conduit,kQndIt,N
0.78,cone,k5n,N
0.6,confederation,k@nfEd@r1SH,N
0.95,confer,k@nf3R,V
1.92,conference,kQnf@r@ns,N
1.4,confess,k@nfEs,V
1.11,confession,k@nfESH,N
0.3,confessor,k@nfEs@R,N
0.48,confidant,kQnfId{nt,N
0.85,confide,k@nf2d,V
1.81,confidence,kQnfId@ns,N
1.45,confident,kQnfId@nt,A
0.78,confidential,kQnfIdEnSP,A
0.78,confidently,kQnfId@ntlI,ADV
0.3,configuration,k@nfIg@r1SH,N
1.38,confine,k@nf2n,V
0.7,confined,k@nf2nd,A
0.78,confinement,k@nf2nm@nt,N
0.48,confines,kQnf2nz,N
1.64,confirm,k@nf3m,V
0.9,confirmation,kQnf@m1SH,N
0.48,confiscate,kQnfIsk1t,V
1.75,conflict,kQnflIkt,N
0.7,conflict,k@nflIkt,V
0.78,conflicting,k@nflIktIN,A
1.08,conform,k@nf$m,V
0.7,conformity,k@nf$m@tI,N
0.48,confound,k@nf6nd,V
1.42,confront,k@nfrVnt,V
1.23,confrontation,kQnfrVnt1SH,N
1.32,confuse,k@nfjuz,V
1.23,confused,k@nfjuzd,A
0.9,confusing,k@nfjuzIN,A
1.45,confusion,k@nfjuZH,N
0.3,congeal,k@n_il,V
0.48,congenial,k@n_inj@l,A
0.48,conger,kQNg@R,N
0.3,congested,k@n_EstId,A
0.6,congestion,k@n_EsJ@n,N
0.3,conglomerate,k@nglQm@r@t,N
0.48,Congo,kQNg5,N
0.95,congratulate,k@ngr{JUl1t,V
0.3,congratulation,k@ngr{JUl1SH,N
0.3,congregate,kQNgrIg1t,V
0.9,congregation,kQNgrIg1SH,N
1.23,congress,kQNgrEs,N
1.34,Congress,kQNgrEs,N
0.6,congressional,k@NgrES@nP,A
0.6,congressman,kQNgrEsm@n,N
0.3,conical,kQnIkP,A
0.6,conifer,kQnIf@R,N
0.7,conjecture,k@n_EkJ@R,N
0.3,conjecture,k@n_EkJ@R,V
0.9,conjunction,k@n_VNkSH,N
0.6,conjure,kVn_@R,V
1.6,connect,k@nEkt,V
0.6,connected,k@nEktId,A
1.67,connection,k@nEkSH,N
0.3,connoisseur,kQn@s3R,N
0.48,connotation,kQn5t1SH,N
1.15,conquer,kQNk@R,V
0.48,conqueror,kQNk@r@R,N
0.95,conquest,kQNkwEst,N
0.95,Conrad,kQnr{d,N
1.42,conscience,kQnS@ns,N
0.85,conscientious,kQnSIEnS@s,A
0.3,conscientiously,kQnSIEnS@slI,ADV
1.65,conscious,kQnS@s,A
1.18,consciously,kQnS@slI,ADV
1.56,consciousness,kQnS@snIs,N
0.48,consecrate,kQnsIkr1t,V
0.6,consecutive,k@nsEkjUtIv,A
1.15,consensus,k@nsEns@s,N
1.04,consent,k@nsEnt,N
0.7,consent,k@nsEnt,V
1.81,consequence,kQnsIkw@ns,N
0.7,consequent,kQnsIkw@nt,A
1.23,consequently,kQnsIkw@ntlI,ADV
0.48,conservancy,k@ns3v@nsI,N
1.49,conservation,kQns@v1SH,N
0.85,conservationist,kQns@v1SHIst,N
0.7,conservatism,k@ns3v@tIz@m,N
0.6,conservative,k@ns3v@tIv,N
1.43,conservative,k@ns3v@tIv,A
1.54,Conservative,k@ns3v@tIv,A
1.2,Conservative,k@ns3v@tIv,N
0.6,conservatory,k@ns3v@trI,N
0.78,conserve,k@ns3v,V
2.32,consider,k@nsId@R,V
1.89,considerable,k@nsId@r@bP,A
1.46,considerably,k@nsId@r@blI,ADV
0.6,considerate,k@nsId@r@t,A
1.6,consideration,k@nsId@r1SH,N
0.3,considered,k@nsId@d,A
0.48,considering,k@nsId@rIN,FUNC
1,considering,k@nsId@rIN,FUNC
0.48,consign,k@ns2n,V
0.3,consignment,k@ns2nm@nt,N
0.9,consistency,k@nsIst@nsI,N
1.2,consistent,k@nsIst@nt,A
1.04,consistently,k@nsIst@ntlI,ADV
0.85,consolation,kQns@l1SH,N
0.3,console,kQns5l,N
0.78,console,k@ns5l,V
0.85,consolidate,k@nsQlId1t,V
0.48,consolidation,k@nsQlId1SH,N
0.48,consort,kQns$t,N
0.6,consortium,k@ns$tj@m,N
1.11,conspicuous,k@nspIkj9s,A
0.6,conspicuously,k@nspIkj9slI,ADV
1.34,conspiracy,k@nspIr@sI,N
0.3,conspirator,k@nspIr@t@R,N
0.3,conspiratorial,k@nspIr@t$r7l,A
0.6,conspire,k@nsp2@R,V
1.08,constable,kVnst@bP,N
0.3,constant,kQnst@nt,N
1.69,constant,kQnst@nt,A
1.6,constantly,kQnst@ntlI,ADV
0.48,constellation,kQnst@l1SH,N
0.3,consternation,kQnst@n1SH,N
0.48,constipation,kQnstIp1SH,N
1.2,constituency,k@nstItj9nsI,N
0.78,constituent,k@nstItj9nt,N
0.3,constituent,k@nstItj9nt,A
1.46,constitute,kQnstItjut,V
1.2,constitution,kQnstItjuSH,N
1,constitutional,kQnstItjuS@nP,A
0.6,constrain,k@nstr1n,V
0.9,constraint,k@nstr1nt,N
0.48,constrict,k@nstrIkt,V
1.45,construct,k@nstrVkt,V
0.3,construct,kQnstrVkt,N
1.56,construction,k@nstrVkSH,N
0.95,constructive,k@nstrVktIv,A
0.3,construe,k@nstru,V
0.48,consul,kQns@l,N
0.3,consulate,kQnsjUl@t,N
1.49,consult,k@nsVlt,V
0.3,consultancy,k@nsVlt@nsI,N
1.18,consultant,k@nsVlt@nt,N
1.11,consultation,kQns@lt1SH,N
0.6,consultative,k@nsVlt@tIv,A
0.3,consulting,k@nsVltIN,A
1.38,consume,k@nsjum,V
1.54,consumer,k@nsjum@R,N
0.3,consuming,k@nsjumIN,A
1.54,consumption,k@nsVmpSH,N
1.91,contact,kQnt{kt,N
1.11,contact,kQnt{kt,V
0.3,contact,kQnt{kt,A
0.48,contagious,k@nt1_@s,A
2.1,contain,k@nt1n,V
1.08,container,k@nt1n@R,N
0.7,contaminate,k@nt{mIn1t,V
0.6,contamination,k@nt{mIn1SH,N
1.26,contemplate,kQntEmpl1t,V
0.6,contemplation,kQntEmpl1SH,N
0.9,contemporary,k@ntEmp@r@rI,N
1.56,contemporary,k@ntEmp@r@rI,A
1.26,contempt,k@ntEmpt,N
0.6,contemptuous,k@ntEmpJ9s,A
0.48,contemptuously,k@ntEmpJ9slI,ADV
0.95,contend,k@ntEnd,V
0.48,contender,k@ntEnd@R,N
1.69,content,kQntEnt,N
0.7,content,k@ntEnt,V
1.26,content,k@ntEnt,A
0.7,contented,k@ntEntId,A
0.3,contentedly,k@ntEntIdlI,ADV
0.6,contention,k@ntEnSH,N
0.3,contentious,k@ntEnS@s,A
0.78,contentment,k@ntEntm@nt,N
0.7,contents,kQntEnts,N
1.04,contest,kQntEst,N
0.7,contest,k@ntEst,V
1.66,context,kQntEkst,N
1.2,continent,kQntIn@nt,N
1,Continent,kQntIn@nt,N
1.15,continental,kQntInEntP,A
0.48,contingency,k@ntIn_@nsI,N
0.6,contingent,k@ntIn_@nt,N
0.85,continual,k@ntInj9l,A
1.23,continually,k@ntInj9lI,ADV
0.3,continuance,k@ntInj9ns,N
0.85,continuation,k@ntInjU1SH,N
2.42,continue,k@ntInju,V
0.95,continuity,kQntInju@tI,N
1.3,continuous,k@ntInj9s,A
1,continuously,k@ntInj9slI,ADV
0.48,continuum,k@ntInj9m,N
0.48,contort,k@nt$t,V
0.6,contour,kQnt9R,N
0.7,contraception,kQntr@sEpSH,N
0.6,contraceptive,kQntr@sEptIv,N
0.48,contraceptive,kQntr@sEptIv,A
1.62,contract,kQntr{kt,N
1.18,contract,k@ntr{kt,V
0.85,contraction,k@ntr{kSH,N
0.7,contractor,k@ntr{kt@R,N
0.85,contradict,kQntr@dIkt,V
1.2,contradiction,kQntr@dIkSH,N
0.95,contradictory,kQntr@dIkt@rI,A
0.3,contraption,k@ntr{pSH,N
1.36,contrary,kQntr@rI,N
0.3,contrary,k@ntr8rI,A
0.85,contrary,kQntr@rI,A
1.63,contrast,kQntr#st,N
1,contrast,k@ntr#st,V
1.62,contribute,k@ntrIbjut,V
1.76,contribution,kQntrIbjuSH,N
0.6,contributor,k@ntrIbjUt@R,N
0.3,contributory,k@ntrIbjUt@rI,A
0.78,contrive,k@ntr2v,V
0.3,contrived,k@ntr2vd,A
2.3,control,k@ntr5l,N
1.93,control,k@ntr5l,V
0.7,controller,k@ntr5l@R,N
1.04,controversial,kQntr@v3SP,A
1.11,controversy,kQntr@v3sI,N
0.3,convene,k@nvin,V
1.04,convenience,k@nvinj@ns,N
1.38,convenient,k@nvinj@nt,A
0.78,conveniently,k@nvinj@ntlI,ADV
0.9,convent,kQnv@nt,N
1.42,convention,k@nvEnSH,N
1.66,conventional,k@nvEnS@nP,A
0.48,conventionally,k@nvEnSH@lI,ADV
0.78,converge,k@nv3_,V
0.3,convergence,k@nv3_@ns,N
1.97,conversation,kQnv@s1SH,N
0.48,conversational,kQnv@s1S@nP,A
0.6,converse,k@nv3s,V
0.6,conversely,kQnv3slI,ADV
1.23,conversion,k@nv3SH,N
0.6,convert,kQnv3t,N
1.56,convert,k@nv3t,V
0.3,converted,k@nv3tId,A
0.48,converter,k@nv3t@R,N
0.3,convertible,k@nv3t@bP,A
1.36,convey,k@nv1,V
0.3,conveyer,k@nv1@R,N
0.3,convict,kQnvIkt,N
1,convict,k@nvIkt,V
1.51,conviction,k@nvIkSH,N
1.49,convince,k@nvIns,V
1.53,convinced,k@nvInst,A
1.15,convincing,k@nvInsIN,A
0.48,convincingly,k@nvInsINlI,ADV
1.04,convoy,kQnv4,N
0.48,convulsion,k@nvVlSH,N
0.3,cony,k5nI,N
0.48,coo,ku,V
1.26,cook,kUk,N
1.86,cook,kUk,V
0.7,cooker,kUk@R,N
0.6,cookery,kUk@rI,N
0.6,cookie,kUkI,N
1.26,cooking,kUkIN,N
0.3,cooking,kUkIN,A
1.42,cool,kul,V
1.6,cool,kul,A
0.6,cool,kul,ADV
0.6,coolly,kullI,ADV
0.48,coolness,kulnIs,N
0.6,co-op,k5Qp,N
0.78,cooper,kup@R,N
1.04,cooperate,k5Qp@r1t,V
1.4,cooperation,k5Qp@r1SH,N
1.04,co-operative,k5Qp@r@tIv,A
1,co-operative,k5Qp@r@tIv,N
1.18,co-ordinate,k5$dIn1t,V
0.78,co-ordination,k5$dIn1SH,N
1.2,cop,kQp,N
0.3,cope,k5p,N
1.64,cope,k5p,V
0.48,copious,k5pj@s,A
1.2,copper,kQp@R,N
0.3,copper,kQp@R,A
0.3,copse,kQps,N
0.3,copulate,kQpjUl1t,V
1.71,copy,kQpI,N
1.2,copy,kQpI,V
0.3,copyright,kQpIr2t,N
0.7,coral,kQr@l,N
1.04,cord,k$d,N
0.3,cordial,k$dj@l,A
0.3,cordon,k$dH,N
0.3,corduroy,k$d@r4,N
1.26,core,k$R,N
0.7,cork,k$k,N
1.38,corn,k$n,N
0.3,corn,k$n,V
2.06,corner,k$n@R,N
0.48,corner,k$n@R,V
0.9,corner,k$n@R,A
0.3,cornerstone,k$n@st5n,N
0.48,cornflakes,k$nfl1ks,N
0.7,Cornwall,k$nw@l,N
0.3,corollary,k@rQl@rI,N
0.3,coronary,kQr@n@rI,A
0.78,coronation,kQr@n1SH,N
0.6,coroner,kQr@n@R,N
0.7,corporal,k$p@r@l,N
1.15,corporate,k$p@r@t,A
1.53,corporation,k$p@r1SH,N
1.28,corps,k$R,N
1.23,corpse,k$ps,N
0.3,corpus,k$p@s,N
1.28,correct,k@rEkt,V
1.63,correct,k@rEkt,A
0.78,correction,k@rEkSH,N
0.3,corrective,k@rEktIv,A
1.18,correctly,k@rEktlI,ADV
0.48,correlate,kQr@l1t,V
0.6,correlation,kQr@l1SH,N
1,correspond,kQrIspQnd,V
1.08,correspondence,kQrIspQnd@ns,N
1.3,correspondent,kQrIspQnd@nt,N
0.85,corresponding,kQrIspQndIN,A
0.48,correspondingly,kQrIspQndINlI,ADV
1.58,corridor,kQrId$R,N
0.7,corrie,kQrI,N
0.3,corroborate,k@rQb@r1t,V
0.3,corroboration,k@rQb@r1SH,N
0.3,corrode,k@r5d,V
0.48,corrugate,kQr@g1t,V
0.78,corrupt,k@rVpt,V
0.95,corrupt,k@rVpt,A
1.11,corruption,k@rVpSH,N
0.6,corset,k$sIt,N
0.3,cortex,k$tEks,N
1,cos,k@s,FUNC
0.7,cosmetic,kQzmEtIk,N
0.3,cosmetic,kQzmEtIk,A
0.85,cosmic,kQzmIk,A
0.3,cosmopolitan,kQzm@pQlIt@n,A
0.48,cosmos,kQzmQs,N
2.26,cost,kQst,N
1.74,cost,kQst,V
1.08,costly,kQstlI,A
1.48,costume,kQstjUm,N
0.9,cosy,k5zI,A
1.08,cot,kQt,N
1.58,cottage,kQtI_,N
1.45,cotton,kQtH,N
1,couch,k6J,N
0.3,couch,k6J,V
1.08,cough,kQf,N
1.08,cough,kQf,V
2.08,council,k6nsP,N
0.95,councillor,k6ns@l@R,N
1.04,counsel,k6nsP,N
0.78,counsel,k6nsP,V
0.7,counsellor,k6nsP@R,N
1.08,count,k6nt,N
1.8,count,k6nt,V
1.62,count,k6nt,N
0.48,countenance,k6nt@n@ns,N
0.3,countenance,k6nt@n@ns,V
0.3,counter,k6nt@R,N
1.08,counter,k6nt@R,V
1.42,counter,k6nt@R,N
0.7,counteract,k6nt@r{kt,V
0.3,counterattack,k6nt@r@t{k,N
1.04,counterpart,k6nt@p#t,N
0.3,counterpoint,k6nt@p4nt,N
0.7,countess,k6ntIs,N
1,countless,k6ntlIs,A
2.75,country,kVntrI,N
1.46,country,kVntrI,A
0.48,country-house,kVntrIh6s,N
0.78,countryman,kVntrIm@n,N
1.56,countryside,kVntrIs2d,N
1.71,county,k6ntI,N
0.9,coup,ku,N
2.11,couple,kVpP,N
0.9,couple,kVpP,V
0.3,coupon,kupQn,N
1.52,courage,kVrI_,N
0.78,courageous,k@r1_@s,A
0.7,courier,kUr7R,N
2.86,course,k$s,N
2.17,court,k$t,N
0.78,court,k$t,V
0.7,courteous,k3tj@s,A
0.3,courteously,k3tj@slI,ADV
1.04,courtesy,k3tIsI,N
0.3,courthouse,k$th6s,N
0.6,courtier,k$tj@R,N
0.3,courtly,k$tlI,A
0.85,courtroom,k$trUm,N
0.48,courtship,k$tSIp,N
1.2,courtyard,k$tj#d,N
1.51,cousin,kVzH,N
0.48,cove,k5v,N
0.85,covenant,kVv@n@nt,N
0.78,Coventry,kQv@ntrI,N
1.7,cover,kVv@R,N
2.26,cover,kVv@R,V
1.04,coverage,kVv@rI_,N
0.7,covering,kVv@rIN,N
0.48,covert,kVv@t,A
0.3,cover-up,kVv@rVp,N
0.3,covet,kVvIt,V
1.6,cow,k6,N
0.3,cow,k6,V
0.85,coward,k6@d,N
0.3,cowardice,k6@dIs,N
0.48,cowardly,k6@dlI,A
0.78,cowboy,k6b4,N
0.3,cower,k6@R,V
0.3,coy,k4,A
0.95,crab,kr{b,N
1.34,crack,kr{k,N
1.28,crack,kr{k,V
0.9,cracked,kr{kt,A
0.3,cracker,kr{k@R,N
0.7,crackle,kr{kP,V
0.7,cradle,kr1dP,N
0.6,cradle,kr1dP,V
1.26,craft,kr#ft,N
0.85,craftsman,kr#ftsm@n,N
0.3,craftsmanship,kr#ftsm@nSIp,N
0.3,crafty,kr#ftI,A
0.48,crag,kr{g,N
1.04,cram,kr{m,V
0.48,cramp,kr{mp,N
0.3,cramp,kr{mp,V
0.78,cramped,kr{mpt,A
0.6,crane,kr1n,N
0.3,crane,kr1n,V
0.48,cranium,kr1nj@m,N
0.48,crank,kr{Nk,N
0.3,crank,kr{Nk,V
0.78,crap,kr{p,N
1.18,crash,kr{S,N
1.28,crash,kr{S,V
0.78,crate,kr1t,N
0.85,crater,kr1t@R,N
0.7,crave,kr1v,V
0.48,craving,kr1vIN,N
1.4,crawl,kr$l,V
0.3,crayon,kr1@n,N
0.48,craze,kr1z,N
0.3,craze,kr1z,V
0.3,crazily,kr1zIlI,ADV
1.49,crazy,kr1zI,A
0.9,creak,krik,V
1.48,cream,krim,N
0.6,cream,krim,V
0.3,cream,krim,A
0.6,creamy,krimI,A
0.6,crease,kris,N
0.6,crease,kris,V
2.2,create,kri1t,V
1.53,creation,kri1SH,N
0.48,Creation,kri1SH,N
1.42,creative,kri1tIv,A
0.95,creativity,kri1tIv@tI,N
0.6,creator,kri1t@R,N
0.3,Creator,kri1t@R,N
1.85,creature,kriJ@R,N
0.48,cr`eche,kr1S,N
0.7,credentials,krIdEnSPz,N
0.85,credibility,krEd@bIl@tI,N
0.78,credible,krEd@bP,A
1.62,credit,krEdIt,N
0.78,credit,krEdIt,V
0.48,creditor,krEdIt@R,N
0.78,creed,krid,N
1.2,creek,krik,N
0.48,creep,krip,N
1.42,creep,krip,V
0.6,creeper,krip@R,N
0.3,crescendo,krISEnd5,N
0.7,crescent,krEsHt,N
0.9,crest,krEst,N
0.6,crevice,krEvIs,N
1.43,crew,kru,N
1.48,cricket,krIkIt,N
0.7,cricketer,krIkIt@R,N
1.81,crime,kr2m,N
1.4,criminal,krImInP,N
1.3,criminal,krImInP,A
0.3,crimson,krImzH,N
0.78,crimson,krImzH,A
0.48,cringe,krIn_,V
0.48,cripple,krIpP,N
1.04,cripple,krIpP,V
1.82,crisis,kr2sIs,N
1,crisp,krIsp,A
1.3,criterion,kr2t7r7n,N
1.54,critic,krItIk,N
1.64,critical,krItIkP,A
0.7,critically,krItIk@lI,ADV
1.65,criticism,krItIsIz@m,N
1.45,criticize,krItIs2z,V
0.7,critique,krItik,N
0.3,croak,kr5k,V
0.48,crockery,krQk@rI,N
