Subject,Word,RT,BaseFrequency,Word.magyar
pp28,ovaalheid,6.32,5.86,ovális
pp28,erkendheid,6.21,6.52,elismert
pp28,coulantheid,6.44,1.79,elnéző
pp28,labielheid,6.21,4.38,változékony
pp28,visrijkheid,6.26,3.04,halban gazdag
pp28,ondiepheid,6.25,5.66,sekély
pp28,onwelheid,6.36,3.97,indiszponált
pp28,blusbaarheid,6.36,0,tűzoltó
pp28,tilbaarheid,7.05,0,emelhető
pp28,gammelheid,6.46,4.91,rozoga
pp28,koketheid,6.23,4.79,kacér
pp28,ludiekheid,6.46,4.14,játékos
pp28,pipsheid,6.46,3.33,pip
pp28,banaalheid,6.41,5.74,banális
pp28,bezweetheid,6.35,4.75,izzadt
pp28,beschutheid,6.81,4.79,védett
pp28,antiekheid,6.41,6.75,antik
pp28,tactvolheid,6.41,4.75,tapintatos
pp28,jofelheid,6.39,3.33,vidám
pp28,pitloosheid,6.23,0,magtalan
pp28,summierheid,6.4,5.3,rövid
pp28,kalkrijkheid,6.57,3.14,meszes
pp28,onbelastheid,6.56,3.18,terheletlen
pp28,kortafheid,6.3,5.87,kurtán
pp28,saprijkheid,6.62,0,lédús
pp28,beuheid,6.64,5.07,beteg
pp28,dementheid,6.37,3.83,megbolondít
pp28,royaalheid,6.41,6.09,nagylelkű
pp3,koketheid,6.73,4.79,kacér
pp3,bezweetheid,6.6,4.75,izzadt
pp3,ondiepheid,6.42,5.66,sekély
pp3,royaalheid,6.68,6.09,nagylelkű
pp3,antiekheid,6.58,6.75,antik
pp3,beschutheid,6.8,4.79,védett
pp3,gammelheid,6.48,4.91,rozoga
pp3,tactvolheid,7.23,4.75,tapintatos
pp3,onattentheid,6.85,1.61,tapintatlan
pp3,tembaarheid,6.67,0,szelíd
pp3,erkendheid,7.14,6.52,elismert
pp3,riantheid,6.54,4.53,nagylelkű
pp3,beuheid,6.55,5.07,beteg
pp3,dementheid,6.52,3.83,megbolondít
pp3,kortafheid,6.95,5.87,kurtán
pp3,blusbaarheid,7.03,0,tűzoltó
pp3,basaalheid,6.82,3.56,alapvető
pp3,ludiekheid,6.48,4.14,játékos
pp3,ovaalheid,6.4,5.86,ovális
pp3,visrijkheid,6.55,3.04,halban gazdag
pp3,labielheid,6.89,4.38,változékony
pp3,pitloosheid,6.51,0,magtalan
pp3,jofelheid,6.45,3.33,vidám
pp3,kalkrijkheid,6.94,3.14,meszes
pp3,coulantheid,6.61,1.79,elnéző
pp3,ontroerdheid,6.69,5.55,költözött
pp3,bebrildheid,6.92,3.61,szemüveges
pp3,markantheid,7.3,5.16,meglepő
pp3,summierheid,6.81,5.3,rövid
pp3,enormheid,6.87,8.42,hatalmas
pp3,onwelheid,6.78,3.97,indiszponált
pp3,tilbaarheid,6.29,0,emelhető
pp3,geurloosheid,6.38,2.56,szagtalan
pp3,pipsheid,6.78,3.33,pip
pp3,aftandsheid,6.84,4.2,rongyos
pp4,geurloosheid,6.96,2.56,szagtalan
pp4,coulantheid,7.33,1.79,elnéző
pp4,visrijkheid,7.42,3.04,halban gazdag
pp4,ondiepheid,7.08,5.66,sekély
pp4,blusbaarheid,6.94,0,tűzoltó
pp4,tilbaarheid,6.88,0,emelhető
pp4,gammelheid,7.04,4.91,rozoga
pp4,beschutheid,7.44,4.79,védett
pp4,tactvolheid,7.2,4.75,tapintatos
pp4,jofelheid,7.29,3.33,vidám
pp4,pitloosheid,7.38,0,magtalan
pp4,kalkrijkheid,6.98,3.14,meszes
pp4,onbelastheid,7.44,3.18,terheletlen
pp4,saprijkheid,6.84,0,lédús
pp4,royaalheid,7.1,6.09,nagylelkű
pp5,riantheid,6.97,4.53,nagylelkű
pp5,ovaalheid,6.76,5.86,ovális
pp5,aftandsheid,6.64,4.2,rongyos
pp5,beschutheid,6.83,4.79,védett
pp5,dementheid,7.05,3.83,megbolondít
pp5,royaalheid,6.79,6.09,nagylelkű
pp6,koketheid,6.49,4.79,kacér
pp6,bezweetheid,6.34,4.75,izzadt
pp6,ondiepheid,6.27,5.66,sekély
pp6,royaalheid,6.23,6.09,nagylelkű
pp6,antiekheid,6.27,6.75,antik
pp6,beschutheid,6.29,4.79,védett
pp6,gammelheid,6.59,4.91,rozoga
pp6,tactvolheid,6.37,4.75,tapintatos
pp6,onattentheid,6.63,1.61,tapintatlan
pp6,tembaarheid,6.35,0,szelíd
pp6,contentheid,6.52,4.5,tartalom
pp6,erkendheid,6.29,6.52,elismert
pp6,riantheid,6.34,4.53,nagylelkű
pp6,beuheid,6.39,5.07,beteg
pp6,dementheid,6.31,3.83,megbolondít
pp6,banaalheid,6.38,5.74,banális
pp6,kortafheid,6.35,5.87,kurtán
pp6,blusbaarheid,6.44,0,tűzoltó
pp6,basaalheid,6.32,3.56,alapvető
pp6,ludiekheid,6.28,4.14,játékos
pp6,ovaalheid,6.21,5.86,ovális
pp6,visrijkheid,6.29,3.04,halban gazdag
pp6,lobbigheid,6.61,0,darabos
pp6,labielheid,6.34,4.38,változékony
pp6,onbelastheid,6.35,3.18,terheletlen
pp6,pitloosheid,6.27,0,magtalan
pp6,jofelheid,6.28,3.33,vidám
pp6,kalkrijkheid,6.28,3.14,meszes
pp6,coulantheid,6.3,1.79,elnéző
pp6,ontroerdheid,6.22,5.55,költözött
pp6,bebrildheid,6.41,3.61,szemüveges
pp6,markantheid,6.33,5.16,meglepő
pp6,summierheid,6.56,5.3,rövid
pp6,enormheid,6.22,8.42,hatalmas
pp6,onwelheid,6.58,3.97,indiszponált
pp6,tilbaarheid,6.33,0,emelhető
pp6,geurloosheid,6.3,2.56,szagtalan
pp6,pipsheid,6.74,3.33,pip
pp6,aftandsheid,6.39,4.2,rongyos
pp7,enormheid,6.29,8.42,hatalmas
pp7,basaalheid,6.39,3.56,alapvető
pp7,markantheid,7.07,5.16,meglepő
pp7,ontroerdheid,6.49,5.55,költözött
pp7,lobbigheid,6.4,0,darabos
pp7,contentheid,6.35,4.5,tartalom
pp7,riantheid,6.76,4.53,nagylelkű
pp7,tembaarheid,6.96,0,szelíd
pp7,onattentheid,6.55,1.61,tapintatlan
pp7,aftandsheid,7.03,4.2,rongyos
pp7,geurloosheid,6.27,2.56,szagtalan
pp7,erkendheid,6.38,6.52,elismert
pp7,labielheid,6.76,4.38,változékony
pp7,visrijkheid,6.49,3.04,halban gazdag
pp7,ondiepheid,7.21,5.66,sekély
pp7,blusbaarheid,7.04,0,tűzoltó
pp7,tilbaarheid,6.42,0,emelhető
pp7,gammelheid,6.4,4.91,rozoga
pp7,ludiekheid,6.78,4.14,játékos
pp7,pipsheid,6.53,3.33,pip
pp7,banaalheid,6.4,5.74,banális
pp7,bezweetheid,6.34,4.75,izzadt
pp7,beschutheid,6.17,4.79,védett
pp7,jofelheid,6.25,3.33,vidám
pp7,pitloosheid,6.34,0,magtalan
pp7,kalkrijkheid,7,3.14,meszes
pp7,onbelastheid,7.32,3.18,terheletlen
pp7,kortafheid,6.57,5.87,kurtán
pp7,saprijkheid,6.88,0,lédús
pp7,dementheid,6.95,3.83,megbolondít
pp7,royaalheid,6.87,6.09,nagylelkű
pp8,riantheid,6.82,4.53,nagylelkű
pp8,beuheid,6.77,5.07,beteg
pp8,aftandsheid,7.14,4.2,rongyos
pp8,tactvolheid,7.17,4.75,tapintatos
pp8,tembaarheid,7.36,0,szelíd
pp8,tilbaarheid,6.97,0,emelhető
pp8,pitloosheid,7.16,0,magtalan
pp8,labielheid,6.73,4.38,változékony
pp8,contentheid,6.87,4.5,tartalom
pp8,saprijkheid,6.87,0,lédús
pp8,dementheid,6.72,3.83,megbolondít
pp8,enormheid,6.45,8.42,hatalmas
pp8,royaalheid,6.46,6.09,nagylelkű
pp8,jofelheid,6.6,3.33,vidám
pp8,blusbaarheid,6.6,0,tűzoltó
pp8,basaalheid,7.04,3.56,alapvető
pp8,kalkrijkheid,7.1,3.14,meszes
pp8,ontroerdheid,6.53,5.55,költözött
pp8,lobbigheid,6.94,0,darabos
pp8,banaalheid,7.09,5.74,banális
pp8,erkendheid,6.44,6.52,elismert
pp8,coulantheid,6.46,1.79,elnéző
pp8,geurloosheid,6.99,2.56,szagtalan
pp8,antiekheid,6.85,6.75,antik
pp8,ludiekheid,7.1,4.14,játékos
pp8,ondiepheid,7.42,5.66,sekély
pp8,pipsheid,6.93,3.33,pip
pp8,bezweetheid,6.55,4.75,izzadt
pp8,koketheid,6.8,4.79,kacér
pp8,onattentheid,6.74,1.61,tapintatlan
pp8,onwelheid,6.58,3.97,indiszponált
pp8,visrijkheid,6.58,3.04,halban gazdag
pp9,koketheid,6.39,4.79,kacér
pp9,bezweetheid,6.23,4.75,izzadt
pp9,ondiepheid,6.13,5.66,sekély
pp9,saprijkheid,6.63,0,lédús
pp9,royaalheid,6.09,6.09,nagylelkű
pp9,antiekheid,6.53,6.75,antik
pp9,beschutheid,6.11,4.79,védett
pp9,gammelheid,6.57,4.91,rozoga
pp9,tactvolheid,6.17,4.75,tapintatos
pp9,onattentheid,6.16,1.61,tapintatlan
pp9,tembaarheid,6.66,0,szelíd
pp9,contentheid,6.47,4.5,tartalom
pp9,erkendheid,6.19,6.52,elismert
pp9,riantheid,6.53,4.53,nagylelkű
pp9,beuheid,6.3,5.07,beteg
pp9,dementheid,6.31,3.83,megbolondít
pp9,banaalheid,6.49,5.74,banális
pp9,kortafheid,6.11,5.87,kurtán
pp9,blusbaarheid,6.3,0,tűzoltó
pp9,basaalheid,6.47,3.56,alapvető
pp9,ludiekheid,6.21,4.14,játékos
pp9,ovaalheid,6.24,5.86,ovális
pp9,visrijkheid,6.39,3.04,halban gazdag
pp9,lobbigheid,6.6,0,darabos
pp9,labielheid,6.31,4.38,változékony
pp9,onbelastheid,6.27,3.18,terheletlen
pp9,pitloosheid,6.22,0,magtalan
pp9,jofelheid,6.29,3.33,vidám
pp9,kalkrijkheid,6.23,3.14,meszes
pp9,coulantheid,6.14,1.79,elnéző
pp9,ontroerdheid,6.15,5.55,költözött
pp9,bebrildheid,6.7,3.61,szemüveges
pp9,markantheid,6.09,5.16,meglepő
pp9,summierheid,6.37,5.3,rövid
pp9,enormheid,6.21,8.42,hatalmas
pp9,tilbaarheid,6.31,0,emelhető
pp9,geurloosheid,6.43,2.56,szagtalan
pp9,pipsheid,6.21,3.33,pip
pp9,aftandsheid,6.21,4.2,rongyos
